Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
4,Spencer Dinwiddie,31,PG,42,12,1038,4.4,11.6,0.382,1.9,5.9,0.324,2.5,5.7,0.442,0.464,3.7,4.3,0.862,0.3,3.3,3.6,5.2,1.4,0.3,1.5,2.2,14.5,DAL
5,Quentin Grimes,24,SG,41,12,938,5.6,12.2,0.461,2.6,6.8,0.392,3.0,5.4,0.546,0.569,2.0,2.7,0.757,1.1,5.2,6.3,3.3,1.1,0.3,2.0,2.5,15.9,DAL
6,Daniel Gafford,26,C,42,19,866,8.6,12.2,0.704,0.0,0.0,,8.6,12.2,0.704,0.704,4.0,5.9,0.688,4.3,6.8,11.1,2.2,0.8,2.8,2.0,4.5,21.2,DAL
7,Naji Marshall,27,SF,34,14,841,6.3,12.6,0.503,1.3,4.1,0.313,5.1,8.5,0.596,0.554,2.0,2.3,0.87,1.3,4.0,5.3,3.7,1.5,0.1,2.1,2.1,16.0,DAL
8,Luka DonÄiÄ,25,PG,22,22,785,9.9,21.4,0.464,3.4,9.7,0.354,6.5,11.6,0.555,0.544,5.1,6.7,0.767,0.7,7.7,8.4,7.9,2.0,0.4,3.4,2.7,28.4,DAL
9,Dereck Lively II,20,C,32,25,768,5.8,8.3,0.701,0.0,0.0,,5.8,8.3,0.701,0.701,2.1,3.2,0.638,4.6,7.1,11.8,3.9,0.8,2.5,1.8,4.4,13.7,DAL
10,Maxi Kleber,33,PF,32,4,606,2.1,5.2,0.414,0.7,2.6,0.279,1.4,2.6,0.545,0.483,0.9,1.1,0.789,1.4,4.0,5.4,2.3,0.5,1.0,1.3,3.8,5.9,DAL
11,Jaden Hardy,22,SG,34,3,540,6.7,15.6,0.427,2.9,7.3,0.394,3.8,8.3,0.456,0.519,2.3,3.1,0.739,0.5,3.1,3.5,3.3,1.4,0.3,3.3,3.6,18.5,DAL
12,Olivier-Maxence Prosper,22,PF,33,1,271,4.1,10.6,0.388,0.8,3.6,0.222,3.3,7.0,0.472,0.425,2.7,4.4,0.606,3.3,6.1,9.4,2.5,1.5,0.4,0.9,2.0,11.7,DAL
13,Dwight Powell,33,C,33,0,251,2.0,2.6,0.778,0.1,0.1,1.0,1.9,2.4,0.765,0.806,2.9,4.3,0.667,3.2,5.3,8.5,3.3,1.7,2.2,1.0,5.5,7.0,DAL
